City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,iqaluit,63.7506,-68.5145,-24.15,64,75,1.03,CA,1707605425
1,ain sefra,32.75,-0.5833,8.07,78,93,2.98,DZ,1707605425
2,west island,-12.1568,96.8225,27.99,78,100,5.14,CC,1707605425
3,grytviken,-54.2811,-36.5092,3.6,85,24,8.43,GS,1707605270
4,st. john's,47.5649,-52.7093,-2.96,91,20,2.06,CA,1707605315
5,merizo village,13.2658,144.6691,27.77,81,99,8.35,GU,1707605426
6,susuman,62.7833,148.1667,-32.79,100,100,0.89,RU,1707605426
7,utrik,11.2278,169.8474,26.15,71,97,9.72,MH,1707605427
8,birnin kudu,11.4459,9.4984,21.51,18,13,2.53,NG,1707605427
9,albany,42.6001,-73.9662,11.07,79,95,0.89,US,1707605427
10,mariental,-24.6333,17.9667,27.76,18,0,6.81,NA,1707605401
11,morelos,18.75,-99.0,30.21,19,33,0.65,MX,1707605428
12,bambari,5.768,20.6757,28.7,22,91,1.06,CF,1707605428
13,ouadda,8.0777,22.4007,23.37,28,49,2.09,CF,1707605428
14,hadibu,12.65,54.0333,24.21,78,53,3.68,YE,1707605429
15,longyearbyen,78.2186,15.6401,-4.09,68,75,6.69,SJ,1707605429
16,walvis bay,-22.9575,14.5053,17.53,82,6,3.6,NA,1707605402
17,sao joao evangelista,-18.5478,-42.7633,19.24,98,42,1.74,BR,1707605430
18,port-aux-francais,-49.35,70.2167,8.3,97,96,11.53,TF,1707605430
19,mount gambier,-37.8333,140.7667,22.11,46,0,0.9,AU,1707605409
20,colonia,50.9333,6.95,10.03,90,20,1.03,DE,1707605200
21,adamstown,-25.066,-130.1015,25.19,90,100,12.15,PN,1707605146
22,faaborg,55.0951,10.2423,4.0,96,100,9.89,DK,1707605431
23,bilibino,68.0546,166.4372,-33.83,100,99,0.32,RU,1707605431
24,port alfred,-33.5906,26.891,15.66,93,35,2.72,ZA,1707605432
